source_key	label_family	structure	variant_set	scorer_or_generator	processed_csv	parent_csv	n_rows	prepare_argument	used_in_current_manuscript	notes
FEP	FEP mutation free energy	1MEL	measured single-mutant variants	FEP	data/source_labels/fep/fep1mel_435_processed.csv	data/source_labels/fep/fep1mel_435.csv	435	--ddg-source FEP	yes	Processed table used by prepare.py; raw FEP calculation is fixed upstream.
FEP	FEP mutation free energy	4IDL	measured single-mutant variants	FEP	data/source_labels/fep/fep4idl_409_processed.csv	data/source_labels/fep/fep4idl_409.csv	409	--ddg-source FEP	yes	Processed table used by prepare.py; 4IDL source lacks the K1Q mutation according to data/source_labels/fep/README.md.
FEP_available	FEP mutation free energy	1JTP	external processed variant set	FEP	data/source_labels/fep/fep1JTP_283_processed.csv	unknown in repository	283	not wired in prepare.py	no	Available processed table, but not part of the current manuscript training path.
FEP_available	FEP mutation free energy	5E0Q	external processed variant set	FEP	data/source_labels/fep/fep5E0Q_308_processed.csv	unknown in repository	308	not wired in prepare.py	no	Available processed table, but not part of the current manuscript training path.
FEP_available	FEP mutation free energy	6LR7	external processed variant set	FEP	data/source_labels/fep/fep6LR7_192_processed.csv	unknown in repository	192	not wired in prepare.py	no	Available processed table, but not part of the current manuscript training path.
rosetta	Rosetta mutation score	1MEL	measured single-mutant variants	Rosetta ddg_monomer	data/source_labels/rosetta/measured/1mel_rosettaddg_processed.csv	data/source_labels/rosetta/measured/1mel_rosettaddg.csv	435	--ddg-source rosetta	yes	Processed table used by prepare.py.
rosetta	Rosetta mutation score	4IDL	measured single-mutant variants	Rosetta ddg_monomer	data/source_labels/rosetta/measured/4idl_rosettaddg_processed.csv	data/source_labels/rosetta/measured/4idl_rosettaddg.csv	409	--ddg-source rosetta	yes	Processed table used by prepare.py.
thermoMPNN	ThermoMPNN mutation score	1MEL	measured single-mutant variants	ThermoMPNN	data/source_labels/thermompnn/1melMPNN2_processed.csv	data/source_labels/thermompnn/1melMPNN2.csv	435	--ddg-source thermoMPNN	no	Current loader reads the MPNN2 processed table, not the larger Colab output directly.; retired: FoldX replaced ThermoMPNN in the current manuscript
thermoMPNN	ThermoMPNN mutation score	4IDL	measured single-mutant variants	ThermoMPNN	data/source_labels/thermompnn/4idlMPNN2_processed.csv	data/source_labels/thermompnn/4idlMPNN2.csv	409	--ddg-source thermoMPNN	no	Current loader reads the MPNN2 processed table, not the larger Colab output directly.; retired: FoldX replaced ThermoMPNN in the current manuscript
thermoMPNN_raw	ThermoMPNN raw Colab output	1MEL	all ThermoMPNN mutation rows	ThermoMPNN	data/source_labels/thermompnn/1mel_thermompnn_data.csv	Google Colab notebook listed in data/source_labels/thermompnn/README.md	2508	not read by prepare.py	no	Raw/provenance table with Mutation and ddG (kcal/mol) columns.
thermoMPNN_raw	ThermoMPNN raw Colab output	4IDL	all ThermoMPNN mutation rows	ThermoMPNN	data/source_labels/thermompnn/4idl_thermompnn_data.csv	Google Colab notebook listed in data/source_labels/thermompnn/README.md	2337	not read by prepare.py	no	Raw/provenance table with Mutation and ddG (kcal/mol) columns.
rosetta_random	Rosetta score for random variants	1MEL	random two-mutation variants	Random generator plus Rosetta ddg_monomer	data/source_labels/rosetta/random1000/random_2mut_1mel_1000_with_ddg_processed.csv	data/source_labels/rosetta/random1000/random_2mut_1mel_1000_with_ddg.csv	1000	--ddg-source rosetta_random	yes	Random sequence generation notebook and Rosetta scripts are in data/source_labels/rosetta/random1000/.
rosetta_random	Rosetta score for random variants	4IDL	random two-mutation variants	Random generator plus Rosetta ddg_monomer	data/source_labels/rosetta/random1000/random_2mut_4idl_1000_with_ddg_processed.csv	data/source_labels/rosetta/random1000/random_2mut_4idl_1000_with_ddg.csv	1000	--ddg-source rosetta_random	yes	Random sequence generation notebook and Rosetta scripts are in data/source_labels/rosetta/random1000/.
rosetta_esm	Rosetta score for ESM2 variants	1MEL	ESM2-generated two-mutation top-likelihood variants	ESM2 generation plus Rosetta ddg_monomer	data/source_labels/rosetta/esm1000/esm2_650M_2muts_1mel_100000_top1pct_with_ddg_processed.csv	data/source_labels/rosetta/esm1000/esm2_650M_2muts_1mel_100000_top1pct_with_ddg.csv	1000	--ddg-source rosetta_esm	yes	Generated from 100000 ESM2 variants, filtered to top 1 percent by PLL, then scored by Rosetta.
rosetta_esm	Rosetta score for ESM2 variants	4IDL	ESM2-generated two-mutation top-likelihood variants	ESM2 generation plus Rosetta ddg_monomer	data/source_labels/rosetta/esm1000/esm2_650M_2muts_4idl_100000_top1pct_with_ddg_processed.csv	data/source_labels/rosetta/esm1000/esm2_650M_2muts_4idl_100000_top1pct_with_ddg.csv	1000	--ddg-source rosetta_esm	yes	Generated from 100000 ESM2 variants, filtered to top 1 percent by PLL, then scored by Rosetta.
MD_FEP400K_4IDL	MD native-contact Q (ΔQ vs WT, fep_md_400k study)	4IDL	single-mutant variants, 400K MD, first-40ns window	OpenMM 400K MD + Best-Hummer Q (scripts/extract_study_qvalue.py)	data/source_labels/md_fep400k/4idl_mdq_processed.csv	data/source_labels/md_fep400k/4idl_mdq.csv	262	--ddg-source MD_FEP400K_4IDL	yes	Single-structure (4IDL) MD ΔQ, for single-vs-2system test.
MD_FEP400K_1MEL	MD native-contact Q (ΔQ vs WT, fep_md_400k study)	1MEL	single-mutant variants, 400K MD, first-40ns window	OpenMM 400K MD + Best-Hummer Q (scripts/extract_study_qvalue.py)	data/source_labels/md_fep400k/1mel_mdq_processed.csv	data/source_labels/md_fep400k/1mel_mdq.csv	431	--ddg-source MD_FEP400K_1MEL	yes	Single-structure (1MEL) MD ΔQ.
FEP_MDMATCH	FEP mutation free energy (MD-matched variant set)	1MEL	FEP variants intersected with MD set (C-terminal Ser removed)	FEP	data/source_labels/fep/fep1mel_mdmatch_processed.csv	data/source_labels/fep/fep1mel_435.csv	431	--ddg-source FEP_MDMATCH	yes	FEP restricted to the exact MD_FEP400K variant set for a matched FEP-vs-MD comparison; scaled01 identical to full FEP (removed variants are not min/max extremes).
FEP_MDMATCH	FEP mutation free energy (MD-matched variant set)	4IDL	FEP variants intersected with MD set (C-terminal Ser removed)	FEP	data/source_labels/fep/fep4idl_mdmatch_processed.csv	data/source_labels/fep/fep4idl_409.csv	406	--ddg-source FEP_MDMATCH	yes	FEP restricted to the exact MD_FEP400K variant set for a matched FEP-vs-MD comparison; scaled01 identical to full FEP (removed variants are not min/max extremes).
ROSETTA_MDMATCH	ROSETTA_MDMATCH (MD-matched variant set)	1MEL	restricted to MD_FEP400K variant set (431/406)	ROSETTA	data/source_labels/rosetta/measured/1mel_rosettaddg_mdmatch_processed.csv		431	--ddg-source ROSETTA_MDMATCH	yes	Matched-set variant for the all-source-matched Fig2/3 comparison; scaled01 identical to full set.
