condition	ddg_head_mode	arch	label	n_ddg	encoder_mode	exp	env	options	result_root	log_dir	log	gpu	rc	val_mae	ci_width	best_n	hparams	scaling_json
B_ddG	separate	shared	default	320	hot	ddgheadhpo_separate_default	{'DETACH_AUX_ENCODER': 'true'}	{'train-mode': 'mtl', 'selection-scope': 'tm', 'final-eval-split': 'val', 'model-arch': 'shared', 'ddg-source': 'FEP', 'md-source': 'none', 'encoder-mode': 'hot', 'n-runs': 3, 'exp-name': 'ddgheadhpo_separate_default', 'result-dir': '/home/yasu/tmp/sim2real/results/ddg_head_search/hpo/ddgheadhpo_separate_default', 'n-ddg-list': 320, 'ddg-head-mode': 'separate'}	/home/yasu/tmp/sim2real/results/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search/ddgheadhpo_separate_default.log	0	0	6.434275753815822	1.4676079679787462	320	{'num_train_epochs': 400, 'batch_size': 16, 'learning_rate': 0.0003, 'encoder_lr': 0.0001, 'weight_decay': 0.04, 'dropout_rate': 0.15, 'early_stopping_patience': 15, 'early_stopping_threshold': 0.0, 'warmup_steps': 100, 'lora_r': 8, 'lora_alpha': 16, 'use_lora': False, 'encoder_mode': 'hot', 'base_model_name': 'facebook/esm2_t6_8M_UR50D', 'mtl_weight_mode': 'uncertainty', 'md_weight': 1.0, 'model_arch': 'shared', 'ddg_head_mode': 'separate', 'ddg_context_dim': 4, 'detach_aux_encoder': True}	/home/yasu/tmp/sim2real/results/ddgheadhpo_separate_default/scaling.json
B_ddG	separate	shared	drop0.05	320	hot	ddgheadhpo_separate_drop0.05	{'DETACH_AUX_ENCODER': 'true'}	{'train-mode': 'mtl', 'selection-scope': 'tm', 'final-eval-split': 'val', 'model-arch': 'shared', 'ddg-source': 'FEP', 'md-source': 'none', 'dropout-rate': '0.05', 'encoder-mode': 'hot', 'n-runs': 3, 'exp-name': 'ddgheadhpo_separate_drop0.05', 'result-dir': '/home/yasu/tmp/sim2real/results/ddg_head_search/hpo/ddgheadhpo_separate_drop0.05', 'n-ddg-list': 320, 'ddg-head-mode': 'separate'}	/home/yasu/tmp/sim2real/results/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search/ddgheadhpo_separate_drop0.05.log	4	0	6.281046137587658	1.5282292681164202	320	{'num_train_epochs': 400, 'batch_size': 16, 'learning_rate': 0.0003, 'encoder_lr': 0.0001, 'weight_decay': 0.04, 'dropout_rate': 0.05, 'early_stopping_patience': 15, 'early_stopping_threshold': 0.0, 'warmup_steps': 100, 'lora_r': 8, 'lora_alpha': 16, 'use_lora': False, 'encoder_mode': 'hot', 'base_model_name': 'facebook/esm2_t6_8M_UR50D', 'mtl_weight_mode': 'uncertainty', 'md_weight': 1.0, 'model_arch': 'shared', 'ddg_head_mode': 'separate', 'ddg_context_dim': 4, 'detach_aux_encoder': True}	/home/yasu/tmp/sim2real/results/ddgheadhpo_separate_drop0.05/scaling.json
B_ddG	separate	shared	drop0.30	320	hot	ddgheadhpo_separate_drop0.30	{'DETACH_AUX_ENCODER': 'true'}	{'train-mode': 'mtl', 'selection-scope': 'tm', 'final-eval-split': 'val', 'model-arch': 'shared', 'ddg-source': 'FEP', 'md-source': 'none', 'dropout-rate': '0.30', 'encoder-mode': 'hot', 'n-runs': 3, 'exp-name': 'ddgheadhpo_separate_drop0.30', 'result-dir': '/home/yasu/tmp/sim2real/results/ddg_head_search/hpo/ddgheadhpo_separate_drop0.30', 'n-ddg-list': 320, 'ddg-head-mode': 'separate'}	/home/yasu/tmp/sim2real/results/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search/ddgheadhpo_separate_drop0.30.log	5	0	6.496049723207019	1.4593918342570928	320	{'num_train_epochs': 400, 'batch_size': 16, 'learning_rate': 0.0003, 'encoder_lr': 0.0001, 'weight_decay': 0.04, 'dropout_rate': 0.3, 'early_stopping_patience': 15, 'early_stopping_threshold': 0.0, 'warmup_steps': 100, 'lora_r': 8, 'lora_alpha': 16, 'use_lora': False, 'encoder_mode': 'hot', 'base_model_name': 'facebook/esm2_t6_8M_UR50D', 'mtl_weight_mode': 'uncertainty', 'md_weight': 1.0, 'model_arch': 'shared', 'ddg_head_mode': 'separate', 'ddg_context_dim': 4, 'detach_aux_encoder': True}	/home/yasu/tmp/sim2real/results/ddgheadhpo_separate_drop0.30/scaling.json
B_ddG	separate	shared	enc3e-4	320	hot	ddgheadhpo_separate_enc3e-4	{'DETACH_AUX_ENCODER': 'true'}	{'train-mode': 'mtl', 'selection-scope': 'tm', 'final-eval-split': 'val', 'model-arch': 'shared', 'ddg-source': 'FEP', 'md-source': 'none', 'encoder-lr': '3e-4', 'encoder-mode': 'hot', 'n-runs': 3, 'exp-name': 'ddgheadhpo_separate_enc3e-4', 'result-dir': '/home/yasu/tmp/sim2real/results/ddg_head_search/hpo/ddgheadhpo_separate_enc3e-4', 'n-ddg-list': 320, 'ddg-head-mode': 'separate'}	/home/yasu/tmp/sim2real/results/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search/ddgheadhpo_separate_enc3e-4.log	2	0	6.561218833645692	1.460942872220392	320	{'num_train_epochs': 400, 'batch_size': 16, 'learning_rate': 0.0003, 'encoder_lr': 0.0003, 'weight_decay': 0.04, 'dropout_rate': 0.15, 'early_stopping_patience': 15, 'early_stopping_threshold': 0.0, 'warmup_steps': 100, 'lora_r': 8, 'lora_alpha': 16, 'use_lora': False, 'encoder_mode': 'hot', 'base_model_name': 'facebook/esm2_t6_8M_UR50D', 'mtl_weight_mode': 'uncertainty', 'md_weight': 1.0, 'model_arch': 'shared', 'ddg_head_mode': 'separate', 'ddg_context_dim': 4, 'detach_aux_encoder': True}	/home/yasu/tmp/sim2real/results/ddgheadhpo_separate_enc3e-4/scaling.json
B_ddG	separate	shared	enc3e-5	320	hot	ddgheadhpo_separate_enc3e-5	{'DETACH_AUX_ENCODER': 'true'}	{'train-mode': 'mtl', 'selection-scope': 'tm', 'final-eval-split': 'val', 'model-arch': 'shared', 'ddg-source': 'FEP', 'md-source': 'none', 'encoder-lr': '3e-5', 'encoder-mode': 'hot', 'n-runs': 3, 'exp-name': 'ddgheadhpo_separate_enc3e-5', 'result-dir': '/home/yasu/tmp/sim2real/results/ddg_head_search/hpo/ddgheadhpo_separate_enc3e-5', 'n-ddg-list': 320, 'ddg-head-mode': 'separate'}	/home/yasu/tmp/sim2real/results/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search/ddgheadhpo_separate_enc3e-5.log	1	0	5.8738843708806785	1.4542103454885016	320	{'num_train_epochs': 400, 'batch_size': 16, 'learning_rate': 0.0003, 'encoder_lr': 3e-05, 'weight_decay': 0.04, 'dropout_rate': 0.15, 'early_stopping_patience': 15, 'early_stopping_threshold': 0.0, 'warmup_steps': 100, 'lora_r': 8, 'lora_alpha': 16, 'use_lora': False, 'encoder_mode': 'hot', 'base_model_name': 'facebook/esm2_t6_8M_UR50D', 'mtl_weight_mode': 'uncertainty', 'md_weight': 1.0, 'model_arch': 'shared', 'ddg_head_mode': 'separate', 'ddg_context_dim': 4, 'detach_aux_encoder': True}	/home/yasu/tmp/sim2real/results/ddgheadhpo_separate_enc3e-5/scaling.json
B_ddG	separate	shared	fixed	320	hot	ddgheadhpo_separate_fixed	{'DETACH_AUX_ENCODER': 'true'}	{'train-mode': 'mtl', 'selection-scope': 'tm', 'final-eval-split': 'val', 'model-arch': 'shared', 'ddg-source': 'FEP', 'md-source': 'none', 'mtl-weight-mode': 'fixed', 'encoder-mode': 'hot', 'n-runs': 3, 'exp-name': 'ddgheadhpo_separate_fixed', 'result-dir': '/home/yasu/tmp/sim2real/results/ddg_head_search/hpo/ddgheadhpo_separate_fixed', 'n-ddg-list': 320, 'ddg-head-mode': 'separate'}	/home/yasu/tmp/sim2real/results/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search/ddgheadhpo_separate_fixed.log	6	0	6.142408570500959	1.5429994342127582	320	{'num_train_epochs': 400, 'batch_size': 16, 'learning_rate': 0.0003, 'encoder_lr': 0.0001, 'weight_decay': 0.04, 'dropout_rate': 0.15, 'early_stopping_patience': 15, 'early_stopping_threshold': 0.0, 'warmup_steps': 100, 'lora_r': 8, 'lora_alpha': 16, 'use_lora': False, 'encoder_mode': 'hot', 'base_model_name': 'facebook/esm2_t6_8M_UR50D', 'mtl_weight_mode': 'fixed', 'md_weight': 1.0, 'model_arch': 'shared', 'ddg_head_mode': 'separate', 'ddg_context_dim': 4, 'detach_aux_encoder': True}	/home/yasu/tmp/sim2real/results/ddgheadhpo_separate_fixed/scaling.json
B_ddG	separate	shared	lr1e-4_enc3e-5	320	hot	ddgheadhpo_separate_lr1e-4_enc3e-5	{'DETACH_AUX_ENCODER': 'true'}	{'train-mode': 'mtl', 'selection-scope': 'tm', 'final-eval-split': 'val', 'model-arch': 'shared', 'ddg-source': 'FEP', 'md-source': 'none', 'learning-rate': '1e-4', 'encoder-lr': '3e-5', 'encoder-mode': 'hot', 'n-runs': 3, 'exp-name': 'ddgheadhpo_separate_lr1e-4_enc3e-5', 'result-dir': '/home/yasu/tmp/sim2real/results/ddg_head_search/hpo/ddgheadhpo_separate_lr1e-4_enc3e-5', 'n-ddg-list': 320, 'ddg-head-mode': 'separate'}	/home/yasu/tmp/sim2real/results/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search/ddgheadhpo_separate_lr1e-4_enc3e-5.log	3	0	6.228217776860959	1.4438100368909934	320	{'num_train_epochs': 400, 'batch_size': 16, 'learning_rate': 0.0001, 'encoder_lr': 3e-05, 'weight_decay': 0.04, 'dropout_rate': 0.15, 'early_stopping_patience': 15, 'early_stopping_threshold': 0.0, 'warmup_steps': 100, 'lora_r': 8, 'lora_alpha': 16, 'use_lora': False, 'encoder_mode': 'hot', 'base_model_name': 'facebook/esm2_t6_8M_UR50D', 'mtl_weight_mode': 'uncertainty', 'md_weight': 1.0, 'model_arch': 'shared', 'ddg_head_mode': 'separate', 'ddg_context_dim': 4, 'detach_aux_encoder': True}	/home/yasu/tmp/sim2real/results/ddgheadhpo_separate_lr1e-4_enc3e-5/scaling.json
B_ddG	shared	shared	default	320	hot	ddgheadhpo_shared_default	{'DETACH_AUX_ENCODER': 'true'}	{'train-mode': 'mtl', 'selection-scope': 'tm', 'final-eval-split': 'val', 'model-arch': 'shared', 'ddg-source': 'FEP', 'md-source': 'none', 'encoder-mode': 'hot', 'n-runs': 3, 'exp-name': 'ddgheadhpo_shared_default', 'result-dir': '/home/yasu/tmp/sim2real/results/ddg_head_search/hpo/ddgheadhpo_shared_default', 'n-ddg-list': 320, 'ddg-head-mode': 'shared'}	/home/yasu/tmp/sim2real/results/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search/ddgheadhpo_shared_default.log	0	0	6.180688529836879	1.4380786218557926	320	{'num_train_epochs': 400, 'batch_size': 16, 'learning_rate': 0.0003, 'encoder_lr': 0.0001, 'weight_decay': 0.04, 'dropout_rate': 0.15, 'early_stopping_patience': 15, 'early_stopping_threshold': 0.0, 'warmup_steps': 100, 'lora_r': 8, 'lora_alpha': 16, 'use_lora': False, 'encoder_mode': 'hot', 'base_model_name': 'facebook/esm2_t6_8M_UR50D', 'mtl_weight_mode': 'uncertainty', 'md_weight': 1.0, 'model_arch': 'shared', 'ddg_head_mode': 'shared', 'ddg_context_dim': 4, 'detach_aux_encoder': True}	/home/yasu/tmp/sim2real/results/ddgheadhpo_shared_default/scaling.json
B_ddG	shared	shared	drop0.05	320	hot	ddgheadhpo_shared_drop0.05	{'DETACH_AUX_ENCODER': 'true'}	{'train-mode': 'mtl', 'selection-scope': 'tm', 'final-eval-split': 'val', 'model-arch': 'shared', 'ddg-source': 'FEP', 'md-source': 'none', 'dropout-rate': '0.05', 'encoder-mode': 'hot', 'n-runs': 3, 'exp-name': 'ddgheadhpo_shared_drop0.05', 'result-dir': '/home/yasu/tmp/sim2real/results/ddg_head_search/hpo/ddgheadhpo_shared_drop0.05', 'n-ddg-list': 320, 'ddg-head-mode': 'shared'}	/home/yasu/tmp/sim2real/results/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search/ddgheadhpo_shared_drop0.05.log	4	0	6.140329580463323	1.552976525954656	320	{'num_train_epochs': 400, 'batch_size': 16, 'learning_rate': 0.0003, 'encoder_lr': 0.0001, 'weight_decay': 0.04, 'dropout_rate': 0.05, 'early_stopping_patience': 15, 'early_stopping_threshold': 0.0, 'warmup_steps': 100, 'lora_r': 8, 'lora_alpha': 16, 'use_lora': False, 'encoder_mode': 'hot', 'base_model_name': 'facebook/esm2_t6_8M_UR50D', 'mtl_weight_mode': 'uncertainty', 'md_weight': 1.0, 'model_arch': 'shared', 'ddg_head_mode': 'shared', 'ddg_context_dim': 4, 'detach_aux_encoder': True}	/home/yasu/tmp/sim2real/results/ddgheadhpo_shared_drop0.05/scaling.json
B_ddG	shared	shared	drop0.30	320	hot	ddgheadhpo_shared_drop0.30	{'DETACH_AUX_ENCODER': 'true'}	{'train-mode': 'mtl', 'selection-scope': 'tm', 'final-eval-split': 'val', 'model-arch': 'shared', 'ddg-source': 'FEP', 'md-source': 'none', 'dropout-rate': '0.30', 'encoder-mode': 'hot', 'n-runs': 3, 'exp-name': 'ddgheadhpo_shared_drop0.30', 'result-dir': '/home/yasu/tmp/sim2real/results/ddg_head_search/hpo/ddgheadhpo_shared_drop0.30', 'n-ddg-list': 320, 'ddg-head-mode': 'shared'}	/home/yasu/tmp/sim2real/results/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search	/home/yasu/tmp/sim2real/logs/ddg_head_search/ddgheadhpo_shared_drop0.30.log	5	0	6.662918332834237	1.6486369561114271	320	{'num_train_epochs': 400, 'batch_size': 16, 'learning_rate': 0.0003, 'encoder_lr': 0.0001, 'weight_decay': 0.04, 'dropout_rate': 0.3, 'early_stopping_patience': 15, 'early_stopping_threshold': 0.0, 'warmup_steps': 100, 'lora_r': 8, 'lora_alpha': 16, 'use_lora': False, 'encoder_mode': 'hot', 'base_model_name': 'facebook/esm2_t6_8M_UR50D', 'mtl_weight_mode': 'uncertainty', 'md_weight': 1.0, 'model_arch': 'shared', 'ddg_head_mode': 'shared', 'ddg_context_dim': 4, 'detach_aux_encoder': True}	/home/yasu/tmp/sim2real/results/ddgheadhpo_shared_drop0.30/scaling.json
