condition	source	source_label	arch	label	n_ddg	n_md	val_mae	ci_width	exp
Tm_only	Tm_only	Tm only	latent	default	0	0	7.209712152158333	1.5737889203838034	frozen_sourcehpo_tm_latent_default
Tm_only	Tm_only	Tm only	latent	drop0.05	0	0	7.283400383808748	1.5735600205764175	frozen_sourcehpo_tm_latent_drop0.05
Tm_only	Tm_only	Tm only	latent	drop0.30	0	0	7.040689084018909	1.6099804952900216	frozen_sourcehpo_tm_latent_drop0.30
Tm_only	Tm_only	Tm only	latent	enc3e-4	0	0	7.209712152158333	1.5737889203838034	frozen_sourcehpo_tm_latent_enc3e-4
Tm_only	Tm_only	Tm only	latent	enc3e-5	0	0	7.209712152158333	1.5737889203838034	frozen_sourcehpo_tm_latent_enc3e-5
Tm_only	Tm_only	Tm only	latent	lr1e-4_enc3e-5	0	0	7.2867767410269	1.5744834863805917	frozen_sourcehpo_tm_latent_lr1e-4_enc3e-5
Tm_only	Tm_only	Tm only	residual	default	0	0	7.225642966157626	1.579919172908899	frozen_sourcehpo_tm_residual_default
Tm_only	Tm_only	Tm only	residual	drop0.05	0	0	7.1939064818687175	1.5693871638204682	frozen_sourcehpo_tm_residual_drop0.05
Tm_only	Tm_only	Tm only	residual	drop0.30	0	0	7.047547785212446	1.5901439399506776	frozen_sourcehpo_tm_residual_drop0.30
Tm_only	Tm_only	Tm only	residual	enc3e-4	0	0	7.225642966157626	1.579919172908899	frozen_sourcehpo_tm_residual_enc3e-4
Tm_only	Tm_only	Tm only	residual	enc3e-5	0	0	7.225642966157626	1.579919172908899	frozen_sourcehpo_tm_residual_enc3e-5
Tm_only	Tm_only	Tm only	residual	lr1e-4_enc3e-5	0	0	7.32292898137983	1.5653687377307843	frozen_sourcehpo_tm_residual_lr1e-4_enc3e-5
Tm_only	Tm_only	Tm only	shared	default	0	0	7.220055772179947	1.5705893567796565	frozen_sourcehpo_tm_shared_default
Tm_only	Tm_only	Tm only	shared	drop0.05	0	0	7.302562493383999	1.5587468453810462	frozen_sourcehpo_tm_shared_drop0.05
Tm_only	Tm_only	Tm only	shared	drop0.30	0	0	6.961082132962038	1.610265127563978	frozen_sourcehpo_tm_shared_drop0.30
