regime	source	validation_mae	test_mae	ci_lo	ci_hi	architecture	head	learning_rate	encoder_lr	dropout	weight_decay	validation_run	final_run
frozen	Tm_only	6.778875731763199	7.229189092594495	6.70025028469133	7.761977191970454	latent	-	0.001	0.0001	0.05	0.1	results/tune_s2_tm_frozen_l0.001_d0.05_w0.1/scaling.json	results/final_tm_frozen/scaling.json
frozen	FEP	6.2286258944883235	7.007703892480173	6.489846389917584	7.532621823264811	shared	separate	0.001	0.0001	0.05	0.02	results/tune_s2_fep_frozen_l0.001_d0.05_w0.02/scaling.json	results/final_fep_frozen/scaling.json
frozen	MD_FEP400K	6.632820772822862	7.033727499873051	6.5281846853891	7.542858779005129	shared	separate	0.001	0.0001	0.05	0.02	results/tune_s2_mdq_frozen_l0.001_d0.05_w0.02/scaling.json	results/final_mdq_frozen/scaling.json
frozen	thermoMPNN	6.3789910799645115	7.088593902304171	6.574970161973701	7.607695717603915	shared	separate	0.0005	0.0001	0.3	0.02	results/tune_c2_tmpnn_frozen_l0.0005_d0.3_w0.02/scaling.json	results/final_tmpnn_frozen/scaling.json
frozen	rosetta	6.528354323915599	7.231161270541303	6.719127025332747	7.75102383240909	shared	separate	0.0005	0.0001	0.3	0.02	results/tune_c2_ros_frozen_l0.0005_d0.3_w0.02/scaling.json	results/final_ros_frozen/scaling.json
frozen	rosetta_random	6.463623850868571	7.216079411208633	6.692700976429156	7.7457646614788125	shared	separate	0.001	0.0001	0.15	0.1	results/tune_c2_rosrnd_frozen_l0.001_d0.15_w0.1/scaling.json	results/final_rosrnd_frozen/scaling.json
frozen	rosetta_esm	6.669227818604996	7.31243634157553	6.7849237241141	7.852764771668521	shared	separate	0.001	0.0001	0.05	0.02	results/tune_c2_rosesm_frozen_l0.001_d0.05_w0.02/scaling.json	results/final_rosesm_frozen/scaling.json
hot	Tm_only	5.869184328332788	6.547931901269491	6.0338683061378635	7.064277038682568	residual	-	0.0003	5e-05	0.3	0.02	results/tune_s2_tm_hot_e5e-05_d0.3_w0.02/scaling.json	results/final_tm_hot/scaling.json
hot	FEP	5.7435973829300115	6.394508715394586	5.898981315814667	6.900618946956977	shared	separate	0.0003	3e-05	0.15	0.1	results/tune_s2_fep_hot_e3e-05_d0.15_w0.1/scaling.json	results/final_fep_hot/scaling.json
hot	MD_FEP400K	5.800675312131105	6.576658727648285	6.0563580909220525	7.10198532863945	latent	context	0.0003	1e-05	0.15	0.02	results/tune_s2_mdq_hot_e1e-05_d0.15_w0.02/scaling.json	results/final_mdq_hot/scaling.json
hot	thermoMPNN	5.6940147012865445	6.620592243350584	6.10249344356803	7.1450629283879765	latent	context	0.0003	1e-05	0.15	0.1	results/tune_c2_tmpnn_hot_e1e-05_d0.15_w0.1/scaling.json	results/final_tmpnn_hot/scaling.json
hot	rosetta	5.7203658144850325	6.625475345220457	6.109972974538465	7.144567592971613	latent	separate	0.0003	1e-05	0.15	0.1	results/tune_c2_ros_hot_e1e-05_d0.15_w0.1/scaling.json	results/final_ros_hot/scaling.json
hot	rosetta_random	5.820475530313411	6.691650032759581	6.181716831427356	7.222168060324434	residual	separate	0.0003	1e-05	0.3	0.1	results/tune_c2_rosrnd_hot_e1e-05_d0.3_w0.1/scaling.json	results/final_rosrnd_hot/scaling.json
hot	rosetta_esm	5.641737564744774	6.9586277046843446	6.428168108528703	7.5106465665780835	shared	separate	0.0003	1e-05	0.15	0.1	results/tune_c2_rosesm_hot_e1e-05_d0.15_w0.1/scaling.json	results/final_rosesm_hot/scaling.json
