condition	source	source_label	arch	label	n_ddg	n_md	val_mae	ci_width	exp
Tm_only	Tm_only	Tm only	latent	default	0	0	6.091717438646296	1.4680440638635828	sourcehpo_tm_latent_default
Tm_only	Tm_only	Tm only	latent	drop0.05	0	0	6.02628259977239	1.5480994994445805	sourcehpo_tm_latent_drop0.05
Tm_only	Tm_only	Tm only	latent	drop0.30	0	0	6.261542462589692	1.489492315584477	sourcehpo_tm_latent_drop0.30
Tm_only	Tm_only	Tm only	latent	enc3e-4	0	0	6.056101836485154	1.4519311607728582	sourcehpo_tm_latent_enc3e-4
Tm_only	Tm_only	Tm only	latent	enc3e-5	0	0	6.1344644166347315	1.453876783204831	sourcehpo_tm_latent_enc3e-5
Tm_only	Tm_only	Tm only	latent	lr1e-4_enc3e-5	0	0	6.3572336514792	1.581350971971382	sourcehpo_tm_latent_lr1e-4_enc3e-5
Tm_only	Tm_only	Tm only	residual	default	0	0	6.111906674148859	1.426444109585466	sourcehpo_tm_residual_default
Tm_only	Tm_only	Tm only	residual	drop0.05	0	0	6.087672343174801	1.529914575503157	sourcehpo_tm_residual_drop0.05
Tm_only	Tm_only	Tm only	residual	drop0.30	0	0	5.9988245063152075	1.503606702550532	sourcehpo_tm_residual_drop0.30
Tm_only	Tm_only	Tm only	residual	enc3e-4	0	0	6.2916337832875	1.4547659239256712	sourcehpo_tm_residual_enc3e-4
Tm_only	Tm_only	Tm only	residual	enc3e-5	0	0	6.097027968506591	1.427530151396451	sourcehpo_tm_residual_enc3e-5
Tm_only	Tm_only	Tm only	residual	lr1e-4_enc3e-5	0	0	6.291667343738947	1.558838852146847	sourcehpo_tm_residual_lr1e-4_enc3e-5
Tm_only	Tm_only	Tm only	shared	default	0	0	6.133267870781438	1.4635127159836028	sourcehpo_tm_shared_default
Tm_only	Tm_only	Tm only	shared	drop0.05	0	0	5.991735227038186	1.4858504621212187	sourcehpo_tm_shared_drop0.05
Tm_only	Tm_only	Tm only	shared	drop0.30	0	0	6.0626118302660075	1.4837815401747863	sourcehpo_tm_shared_drop0.30
