encoder	trajectory_ns	test_mae_deg_c	ci_width_deg_c	exp
frozen encoder	5	7.220947494854496	0.8969932101366043	short_frozen_t5
frozen encoder	10	7.288377679958492	0.9006208832798563	short_frozen_t10
frozen encoder	17	7.30783236279768	0.8992058135166072	short_frozen_t17
frozen encoder	30	7.203587475194138	0.8949049931856354	short_frozen_t30
frozen encoder	50	7.218334360859125	0.8925263561311763	short_frozen_t50
frozen encoder	100	7.236461814375428	0.8939490924787705	short_frozen_t100
hot encoder	5	6.820741853826909	0.8662188334595617	short_hot_t5
hot encoder	10	6.748025466705007	0.8453547733143978	short_hot_t10
hot encoder	17	6.767616500749075	0.8599796409972491	short_hot_t17
hot encoder	30	6.658211133002066	0.8485235696223459	short_hot_t30
hot encoder	50	6.748532813787897	0.8654039444585893	short_hot_t50
hot encoder	100	6.613623652136789	0.877058160017743	short_hot_t100
