exp	timestamp	encoder	base_model	axis	source	source_label	family	n_points	min_n	max_n	best_n	best_x_actual	best_mae	best_ci_width	mae_avg	slope	full_range_p_positive	path
fep_hot	2026-05-29T23:22:02	hot	ESM-2 8M	n_ddg	FEP	FEP ddG	Physics ddG	5	10.0	320.0	40.0	80.0	6.574750020445957	0.8118640620964728	6.6198789666634585	-0.0010000000056869678	0.5259	results/fep_hot/scaling.json
tm_ref_hot	2026-05-29T22:20:28	hot	ESM-2 8M	n_tm	Tm only	Tm only	Tm reference	5	10.0	57.0	57.0	57.0	6.618537981955337	0.859096257554536	6.981998039143145	-0.3756722465713402	0.0	results/tm_ref_hot/scaling.json
hot_q_slope_400k	2026-05-18T02:06:34	hot	ESM-2 8M	n_md	MD_Q_SLOPE_400K	Q slope 400K	MD Q	5	10.0	320.0	10.0	10.0	6.64980195289275	0.8397469687521495	6.697581113080668	-0.0010000000000166462	0.8584	results/hot_q_slope_400k/scaling.json
hot_q_400k	2026-05-23T20:49:05	hot	ESM-2 8M	n_md	MD_Q_HPHIL_400K	Q HPHIL 400K	MD Q	6	10.0	640.0	160.0	160.0	6.664877258511583	0.864260741207719	6.766816233123439	-2.9999999999999996	0.0004	results/hot_q_400k/scaling.json
hot_q_slope	2026-05-07T07:07:20	hot	ESM-2 8M	n_md	MD_Q_SLOPE	Q slope 300K	MD Q	4	10.0	640.0	40.0	40.0	6.665695505403615	0.8631399493027674	6.7832239569824955	-0.00100000000004089	0.9997	results/hot_q_slope/scaling.json
short_hot_t10	2026-05-30T01:57:38	hot	ESM-2 8M	n_md	MD_Q_HPHIL_400K_T10	Q HPHIL 400K, 10 ns	Short MD Q	1	640.0	640.0	640.0	640.0	6.667224425151085	0.8726880145391762	6.667224425151085			results/short_hot_t10/scaling.json
hot_rg_std	2026-05-07T08:07:52	hot	ESM-2 8M	n_md	MD_RG_STD	Rg std 300K	MD flexibility	4	10.0	640.0	40.0	40.0	6.669008399478934	0.8645079887256868	6.819738061850618	-0.0010000000009549525	0.8944	results/hot_rg_std/scaling.json
hot_q_min_400k	2026-05-18T02:40:02	hot	ESM-2 8M	n_md	MD_Q_MIN_400K	Q min 400K	MD Q	5	10.0	320.0	320.0	320.0	6.688673358962433	0.8676560619721734	6.819020855847901	-1.833518188366633	0.0001	results/hot_q_min_400k/scaling.json
hot_q_std	2026-05-07T06:33:47	hot	ESM-2 8M	n_md	MD_Q_STD	Q std 300K	MD Q	4	10.0	640.0	40.0	40.0	6.692819496702669	0.8655951666712118	6.757640750325041	-0.00100000000090399	0.5875	results/hot_q_std/scaling.json
hot_q_std_400k	2026-05-18T03:08:09	hot	ESM-2 8M	n_md	MD_Q_STD_400K	Q std 400K	MD Q	5	10.0	320.0	40.0	40.0	6.7097546992671875	0.8608004663207618	6.8215957265102585	-0.001000000002967719	0.0557	results/hot_q_std_400k/scaling.json
hot_ss_dist_mean	2026-05-19T10:34:56	hot	ESM-2 8M	n_md	MD_SS_DIST_MEAN	SS distance mean	MD structure	4	10.0	640.0	640.0	640.0	6.726629646780526	0.8687899622710242	6.811767747446471	-0.029200848427597886	0.0708	results/hot_ss_dist_mean/scaling.json
hot_rmsf_max	2026-05-07T07:39:43	hot	ESM-2 8M	n_md	MD_RMSF_MAX	RMSF max 300K	MD flexibility	4	10.0	640.0	40.0	40.0	6.733934354692287	0.8723307932253173	6.8475261385548505	-2.999999999996645	0.3639	results/hot_rmsf_max/scaling.json
hot_q_min	2026-05-07T05:58:56	hot	ESM-2 8M	n_md	MD_Q_MIN	Q min 300K	MD Q	4	10.0	640.0	160.0	160.0	6.735078061306588	0.8638573445666484	6.829145135779541	-1.0579207391589553	0.0011	results/hot_q_min/scaling.json
short_hot_t50	2026-05-30T02:59:26	hot	ESM-2 8M	n_md	MD_Q_HPHIL_400K_T50	Q HPHIL 400K, 50 ns	Short MD Q	1	640.0	640.0	640.0	640.0	6.745430019897886	0.8601458203461343	6.745430019897886			results/short_hot_t50/scaling.json
hot_lowflex_sweep	2026-05-06T05:26:04	hot	ESM-2 8M	n_md	MD_Q_LOWFLEX	Q low-flex 300K	MD Q	4	10.0	640.0	640.0	640.0	6.760591554423949	0.8580557202143595	6.834011724868189	-0.4314977902723665	0.0142	results/hot_lowflex_sweep/scaling.json
